자치구,발생_10만명당,실제_위험등급,예측_위험도_점수,CCTV_설치_우선순위_점수,정책_권고사항,핵심_위험_요인
종로구,1848.1631998288863,고위험,100.0,60.0,⚠️ 추가 설치 검토,유흥업소 과밀집
용산구,1529.5081816256434,고위험,84.3,76.0,⚠️ 추가 설치 검토,과거 범죄 이력(관성) 누적
강남구,1084.3106096250988,고위험,83.5,90.1,🚨 긴급 설치 요망,유흥업소 과밀집 / 야간 유동인구 폭증
서초구,917.0225333836872,중위험,60.0,69.7,⚠️ 추가 설치 검토,과거 범죄 이력(관성) 누적
영등포구,1049.164973449857,고위험,57.4,70.1,⚠️ 추가 설치 검토,유흥업소 과밀집
마포구,1043.8771814511263,고위험,42.7,63.9,⚠️ 추가 설치 검토,상대적 안전 구역
광진구,823.1703819281117,중위험,29.0,41.9,✅ 현행 유지,상대적 안전 구역
관악구,904.927161938582,중위험,24.1,42.3,✅ 현행 유지,상대적 안전 구역
금천구,843.6859497218387,중위험,13.3,18.7,✅ 현행 유지,상대적 안전 구역
구로구,820.0701113819323,중위험,8.9,18.6,✅ 현행 유지,상대적 안전 구역
중랑구,822.3714087749026,중위험,5.3,25.2,✅ 현행 유지,상대적 안전 구역
송파구,788.3469701817738,중위험,5.2,41.5,✅ 현행 유지,상대적 안전 구역
동대문구,896.8134678181722,중위험,4.6,34.5,✅ 현행 유지,상대적 안전 구역
강북구,791.0178523295112,중위험,3.3,20.3,✅ 현행 유지,상대적 안전 구역
강서구,712.9211624457038,저위험,2.9,30.0,✅ 현행 유지,상대적 안전 구역
서대문구,644.6510284914413,저위험,2.0,34.5,✅ 현행 유지,상대적 안전 구역
강동구,695.7800421206545,저위험,1.9,36.3,✅ 현행 유지,상대적 안전 구역
은평구,691.3076179219942,저위험,1.5,28.3,✅ 현행 유지,상대적 안전 구역
노원구,624.5065974963347,저위험,1.3,21.3,✅ 현행 유지,상대적 안전 구역
성동구,752.6067496418275,저위험,1.3,37.5,✅ 현행 유지,상대적 안전 구역
동작구,633.5322910427725,저위험,1.1,16.0,✅ 현행 유지,상대적 안전 구역
양천구,690.6856436384398,저위험,0.9,32.7,✅ 현행 유지,상대적 안전 구역
도봉구,568.8947561039369,저위험,0.1,24.2,✅ 현행 유지,상대적 안전 구역
성북구,502.0262644326805,저위험,0.1,23.6,✅ 현행 유지,상대적 안전 구역
