"시점","동별(1)",동별(2),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"시점","동별(1)",동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"2015","합계",소계,4189948,10297138,5063550,5233588,10022181,4930943,5091238,274957,132607,142350,2.39,1267563
"2015","합계",종로구,72645,163822,80531,83291,154986,76548,78438,8836,3983,4853,2.13,24892
"2015","합계",중구,59321,134329,66755,67574,125733,62687,63046,8596,4068,4528,2.12,20302
"2015","합계",용산구,107512,247909,121027,126882,233342,113177,120165,14567,7850,6717,2.17,35715
"2015","합계",성동구,126714,305065,151459,153606,297003,147570,149433,8062,3889,4173,2.34,38164
"2015","합계",광진구,158353,375180,183436,191744,360369,176884,183485,14811,6552,8259,2.28,40368
"2015","합계",동대문구,159941,373824,185827,187997,360153,180485,179668,13671,5342,8329,2.25,52490
"2015","합계",중랑구,176390,418620,208393,210227,413909,206505,207404,4711,1888,2823,2.35,54095
"2015","합계",성북구,190973,469560,229183,240377,459275,224980,234295,10285,4203,6082,2.40,63281
"2015","합계",강북구,141088,334426,164337,170089,330873,162967,167906,3553,1370,2183,2.35,52598
"2015","합계",도봉구,136903,353241,173804,179437,351242,173029,178213,1999,775,1224,2.57,48590
"2015","합계",노원구,219768,578221,281538,296683,574583,279987,294596,3638,1551,2087,2.61,68909
"2015","합계",은평구,203410,502578,244964,257614,497920,242975,254945,4658,1989,2669,2.45,69753
"2015","합계",서대문구,135770,323105,156130,166975,312141,152008,160133,10964,4122,6842,2.30,46758
"2015","합계",마포구,171480,398351,190957,207394,387643,186495,201148,10708,4462,6246,2.26,48598
"2015","합계",양천구,179512,489010,242074,246936,484532,239995,244537,4478,2079,2399,2.70,50398
"2015","합계",강서구,238952,595691,291216,304475,589074,287947,301127,6617,3269,3348,2.47,67950
"2015","합계",구로구,172321,454604,228201,226403,422092,210440,211652,32512,17761,14751,2.45,53719
"2015","합계",금천구,103847,256167,131346,124821,236284,120604,115680,19883,10742,9141,2.28,31070
"2015","합계",영등포구,167863,417811,210388,207423,378504,189394,189110,39307,20994,18313,2.25,51481
"2015","합계",동작구,170495,412774,202165,210609,400641,196463,204178,12133,5702,6431,2.35,53610
"2015","합계",관악구,249191,529031,266773,262258,509663,257491,252172,19368,9282,10086,2.05,64985
"2015","합계",서초구,173007,451258,217036,234222,446764,214737,232027,4494,2299,2195,2.58,49280
"2015","합계",강남구,237373,581760,279209,302551,576495,276425,300070,5265,2784,2481,2.43,60330
"2015","합계",송파구,256611,667480,325950,341530,660302,322441,337861,7178,3509,3669,2.57,68292
"2015","합계",강동구,180508,463321,230851,232470,458658,228709,229949,4663,2142,2521,2.54,51935
"2016","합계",소계,4189839,10204057,5007379,5196678,9930616,4876789,5053827,273441,130590,142851,2.37,1300877
"2016","합계",종로구,72118,161922,79322,82600,152737,75201,77536,9185,4121,5064,2.12,25091
"2016","합계",중구,59651,134409,66452,67957,125249,62204,63045,9160,4248,4912,2.10,20606
"2016","합계",용산구,106607,245102,119636,125466,230241,111601,118640,14861,8035,6826,2.16,35915
"2016","합계",성동구,128727,307161,152006,155155,299259,148326,150933,7902,3680,4222,2.32,39262
"2016","합계",광진구,158390,372104,181251,190853,357215,174797,182418,14889,6454,8435,2.26,41441
"2016","합계",동대문구,159426,370312,183444,186868,355069,177640,177429,15243,5804,9439,2.23,53460
"2016","합계",중랑구,177400,415677,206772,208905,411005,204900,206105,4672,1872,2800,2.32,55914
"2016","합계",성북구,188304,461617,224504,237113,450355,219951,230404,11262,4553,6709,2.39,64015
"2016","합계",강북구,141229,330704,162211,168493,327195,160861,166334,3509,1350,2159,2.32,54053
"2016","합계",도봉구,136898,350272,172006,178266,348220,171238,176982,2052,768,1284,2.54,50510
"2016","합계",노원구,219736,571212,277866,293346,567581,276333,291248,3631,1533,2098,2.58,70887
"2016","합계",은평구,201891,495937,241048,254889,491476,239183,252293,4461,1865,2596,2.43,71457
"2016","합계",서대문구,136766,325871,156597,169274,314194,152510,161684,11677,4087,7590,2.30,47653
"2016","합계",마포구,169432,390887,186668,204219,379892,182162,197730,10995,4506,6489,2.24,48303
"2016","합계",양천구,177434,481845,238163,243682,477739,236290,241449,4106,1873,2233,2.69,52063
"2016","합계",강서구,245045,602104,293734,308370,595485,290478,305007,6619,3256,3363,2.43,71062
"2016","합계",구로구,172220,449600,225411,224189,417551,207667,209884,32049,17744,14305,2.42,55705
"2016","합계",금천구,104483,254654,130429,124225,235386,119885,115501,19268,10544,8724,2.25,32279
"2016","합계",영등포구,165729,406779,204712,202067,370613,185200,185413,36166,19512,16654,2.24,51844
"2016","합계",동작구,172506,413247,201842,211405,400997,196267,204730,12250,5575,6675,2.32,55231
"2016","합계",관악구,251955,525607,265034,260573,506851,256143,250708,18756,8891,9865,2.01,66952
"2016","합계",서초구,173970,451477,216886,234591,447192,214673,232519,4285,2213,2072,2.57,50984
